Wavenumber 		
cm-1	arb	
15000	0
14999.5	0
14999	0
14998.5	1
14998	0
14997.5	0
14997	0
14996.5	0
14996	1
14995.5	1
14995	0
14994.5	0
14994	1
14993.5	2
14993	0
14992.5	0
14992	1
14991.5	1
14991	0
14990.5	1
14990	2
14989.5	1
14989	2
14988.5	0
14988	1
14987.5	4
14987	12
14986.5	7
14986	11
14985.5	20
14985	18
14984.5	35
14984	84
14983.5	110
14983	125
14982.5	129
14982	150
14981.5	159
14981	175
14980.5	190
14980	180
14979.5	200
14979	234
14978.5	108
14978	23
14977.5	8
14977	6
14976.5	5
14976	9
14975.5	4
14975	3
14974.5	9
14974	4
14973.5	2
14973	0
14972.5	0
14972	3
14971.5	0
14971	0
14970.5	0
14970	0
14969.5	0
14969	0
14968.5	1
14968	0
14967.5	0
14967	2
14966.5	0
14966	0
14965.5	0
14965	0
14964.5	2
14964	1
14963.5	2
14963	0
14962.5	0
14962	0
14961.5	2
14961	1
14960.5	0
14960	0
14959.5	0
14959	0
14958.5	0
14958	0
14957.5	0
14957	0
14956.5	0
14956	0
14955.5	0
14955	0
14954.5	1
14954	0
14953.5	1
14953	0
14952.5	0
14952	0
14951.5	3
14951	2
14950.5	2
14950	2
14949.5	0
14949	1
14948.5	1
14948	0
14947.5	1
14947	0
14946.5	0
14946	1
14945.5	0
14945	0
14944.5	2
14944	0
14943.5	0
14943	1
14942.5	1
14942	0
14941.5	0
14941	0
14940.5	0
14940	2
14939.5	1
14939	0
14938.5	0
14938	0
14937.5	0
14937	2
14936.5	0
14936	0
14935.5	0
14935	2
14934.5	0
14934	0
14933.5	0
14933	1
14932.5	1
14932	0
14931.5	0
14931	1
14930.5	0
14930	0
14929.5	0
14929	0
14928.5	0
14928	1
14927.5	0
14927	0
14926.5	0
14926	0
14925.5	0
14925	0
14924.5	0
14924	0
14923.5	0
14923	0
14922.5	0
14922	0
14921.5	1
14921	0
14920.5	0
14920	0
14919.5	0
14919	0
14918.5	0
14918	0
14917.5	0
14917	0
14916.5	1
14916	0
14915.5	0
14915	0
14914.5	0
14914	2
14913.5	0
14913	1
14912.5	1
14912	2
14911.5	2
14911	0
14910.5	0
14910	0
14909.5	1
14909	0
14908.5	0
14908	0
14907.5	0
14907	0
14906.5	0
14906	0
14905.5	0
14905	0
14904.5	0
14904	1
14903.5	0
14903	0
14902.5	1
14902	1
14901.5	0
14901	2
14900.5	1
14900	9
14899.5	8
14899	2
14898.5	9
14898	7
14897.5	10
14897	40
14896.5	43
14896	53
14895.5	57
14895	55
14894.5	89
14894	82
14893.5	93
14893	119
14892.5	100
14892	67
14891.5	16
14891	6
14890.5	2
14890	2
14889.5	0
14889	1
14888.5	2
14888	4
14887.5	0
14887	0
14886.5	2
14886	0
14885.5	1
14885	1
14884.5	0
14884	4
14883.5	1
14883	2
14882.5	0
14882	0
14881.5	0
14881	1
14880.5	0
14880	3
14879.5	1
14879	0
14878.5	0
14878	1
14877.5	0
14877	0
14876.5	1
14876	1
14875.5	0
14875	0
14874.5	1
14874	0
14873.5	1
14873	0
14872.5	1
14872	0
14871.5	0
14871	0
14870.5	0
14870	0
14869.5	0
14869	0
14868.5	0
14868	2
14867.5	0
14867	0
14866.5	0
14866	1
14865.5	1
14865	0
14864.5	2
14864	0
14863.5	0
14863	1
14862.5	0
14862	0
14861.5	0
14861	0
14860.5	0
14860	0
14859.5	0
14859	0
14858.5	0
14858	1
14857.5	0
14857	1
14856.5	0
14856	0
14855.5	0
14855	2
14854.5	0
14854	0
14853.5	0
14853	0
14852.5	0
14852	0
14851.5	0
14851	0
14850.5	1
14850	2
14849.5	3
14849	2
14848.5	3
14848	3
14847.5	0
14847	2
14846.5	11
14846	16
14845.5	12
14845	15
14844.5	13
14844	16
14843.5	15
14843	21
14842.5	26
14842	31
14841.5	17
14841	14
14840.5	2
14840	5
14839.5	1
14839	0
14838.5	0
14838	0
14837.5	1
14837	2
14836.5	0
14836	0
14835.5	0
14835	0
14834.5	1
14834	1
14833.5	1
14833	0
14832.5	0
14832	0
14831.5	1
14831	0
14830.5	0
14830	0
14829.5	0
14829	1
14828.5	1
14828	2
14827.5	1
14827	1
14826.5	1
14826	0
14825.5	0
14825	1
14824.5	1
14824	0
14823.5	0
14823	1
14822.5	0
14822	0
14821.5	0
14821	0
14820.5	0
14820	1
14819.5	1
14819	3
14818.5	0
14818	0
14817.5	1
14817	2
14816.5	2
14816	3
14815.5	0
14815	0
14814.5	0
14814	2
14813.5	0
14813	0
14812.5	0
14812	0
14811.5	0
14811	0
14810.5	1
14810	0
14809.5	1
14809	0
14808.5	0
14808	0
14807.5	1
14807	2
14806.5	0
14806	1
14805.5	0
14805	0
14804.5	1
14804	2
14803.5	0
14803	1
14802.5	1
14802	0
14801.5	0
14801	0
14800.5	0
14800	0
14799.5	2
14799	2
14798.5	1
14798	1
14797.5	2
14797	1
14796.5	0
14796	0
14795.5	0
14795	0
14794.5	0
14794	0
14793.5	1
14793	0
14792.5	0
14792	0
14791.5	0
14791	1
14790.5	0
14790	0
14789.5	1
14789	1
14788.5	0
