Row,Subheader,Name,Intensity,Wavelength/<i>λ</i>/Å,Stage,Comment,Notes
18311,,"Krypton","20 h","5016.45","III","yes","In book, INTENSITY = 20 h",
18312,,"Krypton",200,"5022.40","II","yes",,
18313,,"Krypton",250,"5086.52","II","yes",,
18314,,"Krypton","400 h","5125.73","II","yes","In book, INTENSITY = 400 h",
18315,,"Krypton",500,"5208.32","II","yes",,
18316,,"Krypton",200,"5308.66","II","yes",,
18317,,"Krypton",500,"5333.41","II","yes",,
18318,,"Krypton",200,"5468.17","II","yes",,
18319,,"Krypton",10,"5501.43","III","yes",,
18320,,"Krypton",500,"5562.224","I","yes",,
18321,,"Krypton",2000,"5570.288","I","yes",,
18322,,"Krypton",80,"5580.386","I","yes",,
18323,,"Krypton",100,"5649.561","I","yes",,
18324,,"Krypton",400,"5681.89","II","yes",,
18325,,"Krypton","200 h","5690.35","II","yes","In book, INTENSITY = 200 h",
18326,,"Krypton",100,"5832.855","I","yes",,
18327,,"Krypton",3000,"5870.914","I","yes",,
18328,,"Krypton",200,"5992.22","II","yes",,
18329,,"Krypton",60,"5993.849","I","yes",,
18330,,"Krypton","10 h","6037.17","III","yes","In book, INTENSITY = 10 h",
18331,,"Krypton",60,"6056.125","I","yes",,
18332,,"Krypton","10 h","6078.38","III","yes","In book, INTENSITY = 10 h",
18333,,"Krypton",10,"6310.22","III","yes",,
18334,,"Krypton",300,"6420.18","II","yes",,
18335,,"Krypton",100,"6421.026","I","yes",,
18336,,"Krypton",200,"6456.288","I","yes",,
18337,,"Krypton",150,"6570.07","II","yes",,
18338,,"Krypton",60,"6699.228","I","yes",,
18339,,"Krypton",100,"6904.678","I","yes",,
18340,,"Krypton",250,"7213.13","II","yes",,
18341,,"Krypton",100,"7224.104","I","yes",,
18342,,"Krypton",80,"7287.258","I","yes",,
18343,,"Krypton",400,"7289.78","II","yes",,
18344,,"Krypton",400,"7407.02","II","yes",,
18345,,"Krypton",60,"7425.541","I","yes",,
18346,,"Krypton",200,"7435.78","II","yes",,
18347,,"Krypton",100,"7486.862","I","yes",,
18348,,"Krypton",300,"7524.46","II","yes",,
18349,,"Krypton",1000,"7587.411","I","yes",,
18350,,"Krypton",2000,"7601.544","I","yes",,
18351,,"Krypton",150,"7641.16","II","yes",,
18352,,"Krypton",1000,"7685.244","I","yes",,
18353,,"Krypton",1200,"7694.538","I","yes",,
18354,,"Krypton",250,"7735.69","II","yes",,
18355,,"Krypton",150,"7746.827","I","yes",,
18356,,"Krypton",800,"7854.821","I","yes",,
18357,,"Krypton",200,"7913.423","I","yes",,
18358,,"Krypton",180,"7928.597","I","yes",,
18359,,"Krypton",200,"7933.22","II","yes",,
18360,,"Krypton",120,"7973.62","II","yes",,
